,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Months_sels,City name,total_seals_per_months,sell Hour,sell Munites,Time Frequency,Grouped_products
2,176560,Google Phone,1,600.0,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",4,  Los Angeles (CA),600.0,14,38,1,"Google Phone,Wired Headphones"
3,176560,Wired Headphones,1,11.99,2019-04-12 14:38:00,"669 Spruce St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.99,14,38,1,"Google Phone,Wired Headphones"
17,176574,Google Phone,1,600.0,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",4,  Los Angeles (CA),600.0,19,42,1,"Google Phone,USB-C Charging Cable"
18,176574,USB-C Charging Cable,1,11.95,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.95,19,42,1,"Google Phone,USB-C Charging Cable"
29,176585,Bose SoundSport Headphones,1,99.99,2019-04-07 11:31:00,"823 Highland St, Boston, MA 02215",4,  Boston (MA),99.99,11,31,1,"Bose SoundSport Headphones,Bose SoundSport Headphones"
30,176585,Bose SoundSport Headphones,1,99.99,2019-04-07 11:31:00,"823 Highland St, Boston, MA 02215",4,  Boston (MA),99.99,11,31,1,"Bose SoundSport Headphones,Bose SoundSport Headphones"
31,176586,AAA Batteries (4-pack),2,2.99,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",4,  San Francisco (CA),5.98,17,0,1,"AAA Batteries (4-pack),Google Phone"
32,176586,Google Phone,1,600.0,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",4,  San Francisco (CA),600.0,17,0,1,"AAA Batteries (4-pack),Google Phone"
118,176672,Lightning Charging Cable,1,14.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",4,  New York City (NY),14.95,11,7,1,"Lightning Charging Cable,USB-C Charging Cable"
119,176672,USB-C Charging Cable,1,11.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",4,  New York City (NY),11.95,11,7,1,"Lightning Charging Cable,USB-C Charging Cable"
128,176681,Apple Airpods Headphones,1,150.0,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",4,  Seattle (WA),150.0,10,39,1,"Apple Airpods Headphones,ThinkPad Laptop"
129,176681,ThinkPad Laptop,1,999.99,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",4,  Seattle (WA),999.99,10,39,1,"Apple Airpods Headphones,ThinkPad Laptop"
137,176689,Bose SoundSport Headphones,1,99.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",4,  New York City (NY),99.99,17,15,1,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
138,176689,AAA Batteries (4-pack),2,2.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",4,  New York City (NY),5.98,17,15,1,"Bose SoundSport Headphones,AAA Batteries (4-pack)"
188,176739,34in Ultrawide Monitor,1,379.99,2019-04-05 17:38:00,"730 6th St, Austin, TX 73301",4,  Austin (TX),379.99,17,38,1,"34in Ultrawide Monitor,Google Phone"
189,176739,Google Phone,1,600.0,2019-04-05 17:38:00,"730 6th St, Austin, TX 73301",4,  Austin (TX),600.0,17,38,1,"34in Ultrawide Monitor,Google Phone"
224,176774,Lightning Charging Cable,1,14.95,2019-04-25 15:06:00,"372 Church St, Los Angeles, CA 90001",4,  Los Angeles (CA),14.95,15,6,1,"Lightning Charging Cable,USB-C Charging Cable"
225,176774,USB-C Charging Cable,1,11.95,2019-04-25 15:06:00,"372 Church St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.95,15,6,1,"Lightning Charging Cable,USB-C Charging Cable"
232,176781,iPhone,1,700.0,2019-04-03 07:37:00,"976 Hickory St, Dallas, TX 75001",4,  Dallas (TX),700.0,7,37,1,"iPhone,Lightning Charging Cable"
233,176781,Lightning Charging Cable,1,14.95,2019-04-03 07:37:00,"976 Hickory St, Dallas, TX 75001",4,  Dallas (TX),14.95,7,37,1,"iPhone,Lightning Charging Cable"
249,176797,Google Phone,1,600.0,2019-04-21 08:54:00,"923 Elm St, Los Angeles, CA 90001",4,  Los Angeles (CA),600.0,8,54,1,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
250,176797,Bose SoundSport Headphones,1,99.99,2019-04-21 08:54:00,"923 Elm St, Los Angeles, CA 90001",4,  Los Angeles (CA),99.99,8,54,1,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
251,176797,Wired Headphones,1,11.99,2019-04-21 08:54:00,"923 Elm St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.99,8,54,1,"Google Phone,Bose SoundSport Headphones,Wired Headphones"
259,176805,Google Phone,1,600.0,2019-04-01 15:50:00,"91 Lincoln St, Portland, OR 97035",4,  Portland (OR),600.0,15,50,1,"Google Phone,USB-C Charging Cable"
260,176805,USB-C Charging Cable,1,11.95,2019-04-01 15:50:00,"91 Lincoln St, Portland, OR 97035",4,  Portland (OR),11.95,15,50,1,"Google Phone,USB-C Charging Cable"
263,176808,Google Phone,1,600.0,2019-04-28 18:03:00,"933 Meadow St, San Francisco, CA 94016",4,  San Francisco (CA),600.0,18,3,1,"Google Phone,Wired Headphones"
264,176808,Wired Headphones,1,11.99,2019-04-28 18:03:00,"933 Meadow St, San Francisco, CA 94016",4,  San Francisco (CA),11.99,18,3,1,"Google Phone,Wired Headphones"
269,176813,Google Phone,1,600.0,2019-04-28 18:01:00,"269 Hill St, Atlanta, GA 30301",4,  Atlanta (GA),600.0,18,1,1,"Google Phone,Wired Headphones"
270,176813,Wired Headphones,1,11.99,2019-04-28 18:01:00,"269 Hill St, Atlanta, GA 30301",4,  Atlanta (GA),11.99,18,1,1,"Google Phone,Wired Headphones"
392,176935,AAA Batteries (4-pack),1,2.99,2019-04-03 21:31:00,"315 1st St, Dallas, TX 75001",4,  Dallas (TX),2.99,21,31,1,"AAA Batteries (4-pack),27in FHD Monitor"
393,176935,27in FHD Monitor,1,149.99,2019-04-03 21:31:00,"315 1st St, Dallas, TX 75001",4,  Dallas (TX),149.99,21,31,1,"AAA Batteries (4-pack),27in FHD Monitor"
433,176975,USB-C Charging Cable,1,11.95,2019-04-23 15:46:00,"28 13th St, San Francisco, CA 94016",4,  San Francisco (CA),11.95,15,46,1,"USB-C Charging Cable,AAA Batteries (4-pack)"
434,176975,AAA Batteries (4-pack),1,2.99,2019-04-23 15:46:00,"28 13th St, San Francisco, CA 94016",4,  San Francisco (CA),2.99,15,46,1,"USB-C Charging Cable,AAA Batteries (4-pack)"
448,176989,Google Phone,1,600.0,2019-04-09 13:43:00,"346 9th St, Los Angeles, CA 90001",4,  Los Angeles (CA),600.0,13,43,1,"Google Phone,USB-C Charging Cable"
449,176989,USB-C Charging Cable,1,11.95,2019-04-09 13:43:00,"346 9th St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.95,13,43,1,"Google Phone,USB-C Charging Cable"
453,176993,iPhone,1,700.0,2019-04-07 09:43:00,"28 South St, Los Angeles, CA 90001",4,  Los Angeles (CA),700.0,9,43,1,"iPhone,Wired Headphones"
454,176993,Wired Headphones,1,11.99,2019-04-07 09:43:00,"28 South St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.99,9,43,1,"iPhone,Wired Headphones"
483,177022,iPhone,1,700.0,2019-04-17 18:14:00,"216 Chestnut St, Los Angeles, CA 90001",4,  Los Angeles (CA),700.0,18,14,1,"iPhone,Wired Headphones"
484,177022,Wired Headphones,1,11.99,2019-04-17 18:14:00,"216 Chestnut St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.99,18,14,1,"iPhone,Wired Headphones"
564,177102,iPhone,1,700.0,2019-04-24 05:19:00,"542 Center St, New York City, NY 10001",4,  New York City (NY),700.0,5,19,1,"iPhone,27in 4K Gaming Monitor"
565,177102,27in 4K Gaming Monitor,1,389.99,2019-04-24 05:19:00,"542 Center St, New York City, NY 10001",4,  New York City (NY),389.99,5,19,1,"iPhone,27in 4K Gaming Monitor"
578,177115,iPhone,1,700.0,2019-04-19 19:10:00,"71 6th St, San Francisco, CA 94016",4,  San Francisco (CA),700.0,19,10,1,"iPhone,Lightning Charging Cable"
579,177115,Lightning Charging Cable,1,14.95,2019-04-19 19:10:00,"71 6th St, San Francisco, CA 94016",4,  San Francisco (CA),14.95,19,10,1,"iPhone,Lightning Charging Cable"
581,177117,ThinkPad Laptop,1,999.99,2019-04-16 19:34:00,"564 Hill St, San Francisco, CA 94016",4,  San Francisco (CA),999.99,19,34,1,"ThinkPad Laptop,AAA Batteries (4-pack)"
582,177117,AAA Batteries (4-pack),1,2.99,2019-04-16 19:34:00,"564 Hill St, San Francisco, CA 94016",4,  San Francisco (CA),2.99,19,34,1,"ThinkPad Laptop,AAA Batteries (4-pack)"
632,177167,iPhone,1,700.0,2019-04-28 16:40:00,"39 Lakeview St, Boston, MA 02215",4,  Boston (MA),700.0,16,40,1,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
633,177167,Apple Airpods Headphones,1,150.0,2019-04-28 16:40:00,"39 Lakeview St, Boston, MA 02215",4,  Boston (MA),150.0,16,40,1,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
634,177167,AAA Batteries (4-pack),3,2.99,2019-04-28 16:40:00,"39 Lakeview St, Boston, MA 02215",4,  Boston (MA),8.97,16,40,1,"iPhone,Apple Airpods Headphones,AAA Batteries (4-pack)"
645,177178,iPhone,1,700.0,2019-04-07 00:02:00,"342 Dogwood St, Seattle, WA 98101",4,  Seattle (WA),700.0,0,2,1,"iPhone,Lightning Charging Cable"
646,177178,Lightning Charging Cable,1,14.95,2019-04-07 00:02:00,"342 Dogwood St, Seattle, WA 98101",4,  Seattle (WA),14.95,0,2,1,"iPhone,Lightning Charging Cable"
649,177181,Wired Headphones,1,11.99,2019-04-09 00:49:00,"309 8th St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.99,0,49,1,"Wired Headphones,Apple Airpods Headphones"
650,177181,Apple Airpods Headphones,1,150.0,2019-04-09 00:49:00,"309 8th St, Los Angeles, CA 90001",4,  Los Angeles (CA),150.0,0,49,1,"Wired Headphones,Apple Airpods Headphones"
651,177182,Macbook Pro Laptop,1,1700.0,2019-04-10 22:00:00,"332 10th St, Los Angeles, CA 90001",4,  Los Angeles (CA),1700.0,22,0,1,"Macbook Pro Laptop,ThinkPad Laptop"
652,177182,ThinkPad Laptop,1,999.99,2019-04-10 22:00:00,"332 10th St, Los Angeles, CA 90001",4,  Los Angeles (CA),999.99,22,0,1,"Macbook Pro Laptop,ThinkPad Laptop"
654,177184,AA Batteries (4-pack),1,3.84,2019-04-01 16:49:00,"289 Hill St, Atlanta, GA 30301",4,  Atlanta (GA),3.84,16,49,1,"AA Batteries (4-pack),Flatscreen TV"
655,177184,Flatscreen TV,1,300.0,2019-04-01 16:49:00,"289 Hill St, Atlanta, GA 30301",4,  Atlanta (GA),300.0,16,49,1,"AA Batteries (4-pack),Flatscreen TV"
669,177198,Vareebadd Phone,1,400.0,2019-04-06 16:07:00,"154 6th St, New York City, NY 10001",4,  New York City (NY),400.0,16,7,1,"Vareebadd Phone,USB-C Charging Cable"
670,177198,USB-C Charging Cable,2,11.95,2019-04-06 16:07:00,"154 6th St, New York City, NY 10001",4,  New York City (NY),23.9,16,7,1,"Vareebadd Phone,USB-C Charging Cable"
673,177201,USB-C Charging Cable,1,11.95,2019-04-26 16:13:00,"505 River St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.95,16,13,1,"USB-C Charging Cable,Lightning Charging Cable"
674,177201,Lightning Charging Cable,1,14.95,2019-04-26 16:13:00,"505 River St, Los Angeles, CA 90001",4,  Los Angeles (CA),14.95,16,13,1,"USB-C Charging Cable,Lightning Charging Cable"
686,177213,iPhone,1,700.0,2019-04-25 10:04:00,"756 Lincoln St, Dallas, TX 75001",4,  Dallas (TX),700.0,10,4,1,"iPhone,Lightning Charging Cable"
687,177213,Lightning Charging Cable,1,14.95,2019-04-25 10:04:00,"756 Lincoln St, Dallas, TX 75001",4,  Dallas (TX),14.95,10,4,1,"iPhone,Lightning Charging Cable"
702,177228,Google Phone,1,600.0,2019-04-17 19:38:00,"233 South St, Dallas, TX 75001",4,  Dallas (TX),600.0,19,38,1,"Google Phone,AA Batteries (4-pack)"
703,177228,AA Batteries (4-pack),1,3.84,2019-04-17 19:38:00,"233 South St, Dallas, TX 75001",4,  Dallas (TX),3.84,19,38,1,"Google Phone,AA Batteries (4-pack)"
729,177254,AA Batteries (4-pack),1,3.84,2019-04-21 02:12:00,"689 Cherry St, Boston, MA 02215",4,  Boston (MA),3.84,2,12,1,"AA Batteries (4-pack),AAA Batteries (4-pack)"
730,177254,AAA Batteries (4-pack),2,2.99,2019-04-21 02:12:00,"689 Cherry St, Boston, MA 02215",4,  Boston (MA),5.98,2,12,1,"AA Batteries (4-pack),AAA Batteries (4-pack)"
732,177256,Bose SoundSport Headphones,1,99.99,2019-04-28 21:34:00,"789 11th St, San Francisco, CA 94016",4,  San Francisco (CA),99.99,21,34,1,"Bose SoundSport Headphones,AA Batteries (4-pack)"
733,177256,AA Batteries (4-pack),1,3.84,2019-04-28 21:34:00,"789 11th St, San Francisco, CA 94016",4,  San Francisco (CA),3.84,21,34,1,"Bose SoundSport Headphones,AA Batteries (4-pack)"
777,177300,20in Monitor,1,109.99,2019-04-03 21:33:00,"276 Lincoln St, Los Angeles, CA 90001",4,  Los Angeles (CA),109.99,21,33,1,"20in Monitor,Apple Airpods Headphones"
778,177300,Apple Airpods Headphones,1,150.0,2019-04-03 21:33:00,"276 Lincoln St, Los Angeles, CA 90001",4,  Los Angeles (CA),150.0,21,33,1,"20in Monitor,Apple Airpods Headphones"
845,177367,Google Phone,1,600.0,2019-04-05 07:52:00,"141 Chestnut St, San Francisco, CA 94016",4,  San Francisco (CA),600.0,7,52,1,"Google Phone,USB-C Charging Cable,Bose SoundSport Headphones"
846,177367,USB-C Charging Cable,1,11.95,2019-04-05 07:52:00,"141 Chestnut St, San Francisco, CA 94016",4,  San Francisco (CA),11.95,7,52,1,"Google Phone,USB-C Charging Cable,Bose SoundSport Headphones"
847,177367,Bose SoundSport Headphones,1,99.99,2019-04-05 07:52:00,"141 Chestnut St, San Francisco, CA 94016",4,  San Francisco (CA),99.99,7,52,1,"Google Phone,USB-C Charging Cable,Bose SoundSport Headphones"
878,177398,27in FHD Monitor,1,149.99,2019-04-13 21:54:00,"640 8th St, Los Angeles, CA 90001",4,  Los Angeles (CA),149.99,21,54,1,"27in FHD Monitor,AAA Batteries (4-pack)"
879,177398,AAA Batteries (4-pack),1,2.99,2019-04-13 21:54:00,"640 8th St, Los Angeles, CA 90001",4,  Los Angeles (CA),2.99,21,54,1,"27in FHD Monitor,AAA Batteries (4-pack)"
909,177428,Vareebadd Phone,1,400.0,2019-04-15 08:19:00,"481 Jefferson St, Boston, MA 02215",4,  Boston (MA),400.0,8,19,1,"Vareebadd Phone,USB-C Charging Cable"
910,177428,USB-C Charging Cable,1,11.95,2019-04-15 08:19:00,"481 Jefferson St, Boston, MA 02215",4,  Boston (MA),11.95,8,19,1,"Vareebadd Phone,USB-C Charging Cable"
923,177441,iPhone,1,700.0,2019-04-16 14:38:00,"559 Elm St, Dallas, TX 75001",4,  Dallas (TX),700.0,14,38,1,"iPhone,Lightning Charging Cable"
924,177441,Lightning Charging Cable,1,14.95,2019-04-16 14:38:00,"559 Elm St, Dallas, TX 75001",4,  Dallas (TX),14.95,14,38,1,"iPhone,Lightning Charging Cable"
926,177443,Apple Airpods Headphones,1,150.0,2019-04-21 16:42:00,"23 9th St, Dallas, TX 75001",4,  Dallas (TX),150.0,16,42,1,"Apple Airpods Headphones,27in 4K Gaming Monitor"
927,177443,27in 4K Gaming Monitor,1,389.99,2019-04-21 16:42:00,"23 9th St, Dallas, TX 75001",4,  Dallas (TX),389.99,16,42,1,"Apple Airpods Headphones,27in 4K Gaming Monitor"
932,177448,Google Phone,1,600.0,2019-04-24 19:38:00,"915 Forest St, Los Angeles, CA 90001",4,  Los Angeles (CA),600.0,19,38,1,"Google Phone,USB-C Charging Cable"
933,177448,USB-C Charging Cable,1,11.95,2019-04-24 19:38:00,"915 Forest St, Los Angeles, CA 90001",4,  Los Angeles (CA),11.95,19,38,1,"Google Phone,USB-C Charging Cable"
971,177486,ThinkPad Laptop,1,999.99,2019-04-21 16:24:00,"809 Highland St, Seattle, WA 98101",4,  Seattle (WA),999.99,16,24,1,"ThinkPad Laptop,Google Phone"
972,177486,Google Phone,1,600.0,2019-04-21 16:24:00,"809 Highland St, Seattle, WA 98101",4,  Seattle (WA),600.0,16,24,1,"ThinkPad Laptop,Google Phone"
990,177504,Google Phone,1,600.0,2019-04-10 14:39:00,"19 Cedar St, Boston, MA 02215",4,  Boston (MA),600.0,14,39,1,"Google Phone,USB-C Charging Cable"
